model;price;date added;power of engine;used;number of previous owners;transmission type;fuel type;fuel consumption;co2 emissions
Porsche Panamera ;€ 34,900.-;127,000 km;11/2010;220 kW (299 hp);Used;1 previous owner;Automatic;Gasoline;9.6 l/100 km (comb.);225 g/km (comb.)
Volkswagen Golf ;€ 19,950.-;120,430 km;05/2016;162 kW (220 hp);Used;1 previous owner;Automatic;Gasoline;6.3 l/100 km (comb.);145 g/km (comb.)
Mitsubishi 3000 GT ;€ 8,500.-;183,600 km;03/1996;210 kW (286 hp);Used;- (Previous Owners);Manual;Gasoline;12.4 l/100 km (comb.);- (g/km)
Volkswagen Scirocco ;€ 16,880.-;123,500 km;12/2012;195 kW (265 hp);Used;- (Previous Owners);Automatic;Gasoline;8 l/100 km (comb.);187 g/km (comb.)
Renault Megane ;€ 5,000.-;286,000 km;03/2015;70 kW (95 hp);Used;- (Previous Owners);Manual;Diesel;4.1 l/100 km (comb.);- (g/km)
Dodge Challenger ;€ 57,899.-;15,992 km;11/2019;362 kW (492 hp);Used;1 previous owner;Automatic;Gasoline;- (l/100 km);- (g/km)
Audi A5 ;€ 23,490.-;68,760 km;08/2016;140 kW (190 hp);Used;1 previous owner;Manual;Diesel;5.1 l/100 km (comb.);135 g/km (comb.)
Subaru WRX ;€ 33,980.-;112,852 km;05/2014;221 kW (300 hp);Used;2 previous owners;Manual;Gasoline;10.4 l/100 km (comb.);246 g/km (comb.)
Mercedes-Benz S 65 AMG ;€ 234,500.-;31,900 km;02/2020;463 kW (630 hp);Used;2 previous owners;Automatic;Gasoline;11.9 l/100 km (comb.);279 g/km (comb.)
Mercedes-Benz ML 270 ;€ 8,980.-;151,232 km;09/2003;120 kW (163 hp);Used;- (Previous Owners);Automatic;Diesel;9.1 l/100 km (comb.);241 g/km (comb.)
Tesla Model 3 ;€ 61,500.-;35,876 km;06/2021;377 kW (513 hp);Used;- (Previous Owners);Automatic;Electric;- (l/100 km);0 g/km (comb.)
Chevrolet Camaro ;€ 37,855.-;48,542 km;12/2020;250 kW (340 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Porsche Panamera ;€ 86,990.-;69,000 km;01/2017;404 kW (549 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Volkswagen Golf Variant ;€ 11,900.-;179,800 km;09/2016;110 kW (150 hp);Used;- (Previous Owners);Manual;Diesel;4.2 l/100 km (comb.);110 g/km (comb.)
Volkswagen T5 Caravelle ;€ 21,980.-;230,000 km;09/2011;103 kW (140 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
Land Rover Range Rover ;€ 6,400.-;182,700 km;02/1999;165 kW (224 hp);Used;- (Previous Owners);Automatic;Gasoline;14.1 l/100 km (comb.);- (g/km)
BMW 225 ;€ 17,990.-;105,000 km;11/2016;165 kW (224 hp);Used;1 previous owner;Automatic;Electric/Gasoline;2 l/100 km (comb.);46 g/km (comb.)
Volkswagen T5 Caravelle ;€ 21,980.-;230,000 km;09/2011;103 kW (140 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
Toyota C-HR ;€ 17,390.-;76,091 km;08/2018;90 kW (122 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;4 l/100 km (comb.);- (g/km)
Volkswagen CC ;€ 11,990.-;154,400 km;06/2014;103 kW (140 hp);Used;- (Previous Owners);Manual;Diesel;4.6 l/100 km (comb.);120 g/km (comb.)
BMW 225 ;€ 17,990.-;105,000 km;11/2016;165 kW (224 hp);Used;1 previous owner;Automatic;Electric/Gasoline;2 l/100 km (comb.);46 g/km (comb.)
Mercedes-Benz C 43 AMG ;€ 35,995.-;95,859 km;09/2017;270 kW (367 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Mercedes-Benz SLK 350 ;€ 29,880.-;50,000 km;07/2011;225 kW (306 hp);Used;- (Previous Owners);Automatic;Gasoline;7.1 l/100 km (comb.);167 g/km (comb.)
BMW M4 ;€ 51,900.-;59,000 km;05/2017;317 kW (431 hp);Used;- (Previous Owners);Automatic;Gasoline;8.3 l/100 km (comb.);- (g/km)
Porsche Cayenne ;€ 52,990.-;116,085 km;06/2017;245 kW (333 hp);Used;1 previous owner;Automatic;Electric/Gasoline;- (l/100 km);79 g/km (comb.)
Audi A5 ;€ 30,800.-;121,000 km;04/2017;200 kW (272 hp);Used;- (Previous Owners);Automatic;Diesel;5.2 l/100 km (comb.);136 g/km (comb.)
SEAT Ibiza ;€ 3,998.-;197,000 km;09/2013;63 kW (86 hp);Used;- (Previous Owners);Manual;Gasoline;5.9 l/100 km (comb.);- (g/km)
Audi A4 ;€ 1,999.-;197,250 km;06/1998;121 kW (165 hp);Used;- (Previous Owners);Manual;Gasoline;9.5 l/100 km (comb.);226 g/km (comb.)
Porsche 992 ;€ 151,890.-;3,500 km;06/2021;331 kW (450 hp);Used;2 previous owners;Automatic;Gasoline;9.6 l/100 km (comb.);220 g/km (comb.)
Audi TT ;€ 31,985.-;2,400 km;03/2019;180 kW (245 hp);Used;1 previous owner;Manual;Gasoline;6.5 l/100 km (comb.);149 g/km (comb.)
Volvo V40 ;€ 11,200.-;104,314 km;04/2015;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;3.4 l/100 km (comb.);88 g/km (comb.)
Audi A5 ;€ 36,490.-;84,000 km;11/2017;210 kW (286 hp);Used;- (Previous Owners);Automatic;Diesel;5.7 l/100 km (comb.);148 g/km (comb.)
BMW 530 ;€ 9,000.-;154,500 km;07/1989;138 kW (188 hp);Used;2 previous owners;Manual;Gasoline;- (l/100 km);- (g/km)
BMW 745 ;€ 78,900.-;45,555 km;05/2019;290 kW (394 hp);Used;1 previous owner;Automatic;Electric/Gasoline;- (l/100 km);50 g/km (comb.)
Volkswagen Polo ;€ 11,111.-;135,300 km;03/2011;132 kW (179 hp);Used;- (Previous Owners);Automatic;Gasoline;5.9 l/100 km (comb.);139 g/km (comb.)
Porsche 930 ;€ 182,790.-;5,700 km;01/2022;353 kW (480 hp);Used;1 previous owner;Automatic;Gasoline;10.7 l/100 km;244 g/km (comb.)
BMW 430 ;€ 29,650.-;123,816 km;05/2017;185 kW (252 hp);Used;- (Previous Owners);Automatic;Gasoline;5.9 l/100 km (comb.);144 g/km (comb.)
Alpine A110 ;€ 64,950.-;1,739 km;08/2021;185 kW (252 hp);Used;- (Previous Owners);Automatic;Gasoline;6.6 l/100 km (comb.);149 g/km (comb.)
Audi A6 ;€ 15,985.-;165,000 km;03/2014;120 kW (163 hp);Used;- (Previous Owners);Manual;Diesel;4.7 l/100 km (comb.);125 g/km (comb.)
Audi Q5 ;€ 14,250.-;179,000 km;04/2010;155 kW (211 hp);Used;- (Previous Owners);Manual;Gasoline;- (l/100 km);- (g/km)
Volkswagen Golf GTE ;€ 37,900.-;23,952 km;11/2020;110 kW (150 hp);Used;1 previous owner;Automatic;Electric/Gasoline;1.7 l/100 km (comb.);38 g/km (comb.)
Mercedes-Benz GL 320 ;€ 8,790.-;289,842 km;09/2006;165 kW (224 hp);Used;3 previous owners;Automatic;Diesel;10 l/100 km (comb.);264 g/km (comb.)
Mercedes-Benz AMG GT ;€ 137,480.-;25,777 km;04/2019;410 kW (557 hp);Used;2 previous owners;Automatic;Gasoline;12.5 l/100 km (comb.);284 g/km (comb.)
BMW 420 ;€ 29,490.-;121,000 km;04/2019;135 kW (184 hp);Used;1 previous owner;Automatic;Gasoline;- (l/100 km);- (g/km)
Volkswagen Polo GTI ;€ 15,999.-;114,103 km;02/2020;147 kW (200 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);0 g/km (comb.)
Opel Astra ;€ 7,799.-;111,483 km;10/2013;96 kW (131 hp);Used;1 previous owner;Manual;Diesel;4.3 l/100 km (comb.);114 g/km (comb.)
Mercedes-Benz GLC 43 AMG ;€ 46,780.-;48,000 km;11/2018;270 kW (367 hp);Used;1 previous owner;Automatic;Gasoline;8.3 l/100 km (comb.);196 g/km (comb.)
Mercedes-Benz GLC 63 AMG ;€ 72,990.-;72,000 km;01/2019;375 kW (510 hp);Used;- (Previous Owners);Automatic;Gasoline;11.7 l/100 km (comb.);- (g/km)
Mercedes-Benz CLA 35 AMG ;€ 49,900.-;47,500 km;06/2020;225 kW (306 hp);Used;1 previous owner;Automatic;Gasoline;;171 g/km (comb.)
BMW 330 ;€ 5,990.-;280,900 km;07/2001;170 kW (231 hp);Used;1 previous owner;Automatic;Gasoline;9.6 l/100 km (comb.);230 g/km (comb.)
BMW X5 ;€ 79,490.-;44,000 km;12/2020;210 kW (286 hp);Used;1 previous owner;Automatic;Electric/Gasoline;1.7 l/100 km;30 g/km (comb.)
Volkswagen Golf Variant ;€ 6,480.-;280,901 km;10/2013;110 kW (150 hp);Used;3 previous owners;Manual;Diesel;4.2 l/100 km (comb.);108 g/km (comb.)
Mercedes-Benz EQC 400 ;€ 68,800.-;24,400 km;01/2021;300 kW (408 hp);Used;1 previous owner;Automatic;Electric;- (l/100 km);0 g/km (comb.)
BMW 530 ;€ 33,750.-;98,262 km;08/2017;135 kW (184 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;1.9 l/100 km (comb.);46 g/km (comb.)
MINI Cooper SE ;€ 26,900.-;38,990 km;02/2021;135 kW (184 hp);Used;- (Previous Owners);Automatic;Electric;- (l/100 km);0 g/km (comb.)
Citroen C5 Aircross ;€ 23,999.-;42,200 km;03/2019;96 kW (131 hp);Used;1 previous owner;Automatic;Diesel;5.9 l/100 km;105 g/km (comb.)
Mercedes-Benz C 43 AMG ;€ 45,770.-;60,000 km;09/2018;287 kW (390 hp);Used;- (Previous Owners);Automatic;Gasoline;9.3 l/100 km (comb.);214 g/km (comb.)
Mercedes-Benz C 43 AMG ;€ 45,770.-;60,000 km;09/2018;287 kW (390 hp);Used;- (Previous Owners);Automatic;Gasoline;9.3 l/100 km (comb.);214 g/km (comb.)
Porsche Panamera ;€ 84,950.-;99,999 km;07/2019;340 kW (462 hp);Used;2 previous owners;Automatic;Electric/Gasoline;2.6 l/100 km (comb.);56 g/km (comb.)
Audi A3 ;€ 15,699.-;132,037 km;10/2014;135 kW (184 hp);Used;2 previous owners;Manual;Diesel;4.2 l/100 km (comb.);111 g/km (comb.)
Mercedes-Benz V 250 ;€ 56,870.-;124,520 km;08/2017;140 kW (190 hp);Used;1 previous owner;Automatic;Diesel;6.7 l/100 km (comb.);177 g/km (comb.)
Audi Q5 ;€ 23,900.-;111,000 km;03/2014;190 kW (258 hp);Used;- (Previous Owners);Automatic;Diesel;5.9 l/100 km (comb.);156 g/km (comb.)
Volkswagen Touareg ;€ 9,500.-;267,000 km;06/2006;230 kW (313 hp);Used;- (Previous Owners);Automatic;Diesel;12.3 l/100 km (comb.);- (g/km)
Ford Mustang ;€ 49,999.-;12,500 km;04/2020;338 kW (460 hp);Used;2 previous owners;Manual;Gasoline;- (l/100 km);0 g/km (comb.)
Porsche Cayman ;€ 93,490.-;3,600 km;10/2021;294 kW (400 hp);Used;1 previous owner;Automatic;Gasoline;10.1 l/100 km;230 g/km (comb.)
Opel Astra ;€ 9,499.-;150,000 km;04/2018;81 kW (110 hp);Used;3 previous owners;Manual;Diesel;3.5 l/100 km (comb.);92 g/km (comb.)
Audi A6 ;€ 49,900.-;61,500 km;07/2019;210 kW (286 hp);Used;1 previous owner;Automatic;Diesel;5.6 l/100 km (comb.);151 g/km (comb.)
Mercedes-Benz C 63 AMG ;€ 77,630.-;14,900 km;05/2020;375 kW (510 hp);Used;1 previous owner;Automatic;Gasoline;10 l/100 km (comb.);229 g/km (comb.)
Audi A3 ;€ 699.-;360,360 km;07/1997;74 kW (101 hp);Used;3 previous owners;Manual;Gasoline;- (l/100 km);0 g/km (comb.)
MINI Cooper ;€ 15,900.-;64,220 km;01/2019;100 kW (136 hp);Used;- (Previous Owners);Manual;Gasoline;4.5 l/100 km (comb.);- (g/km)
Dacia Lodgy ;€ 5,990.-;200,000 km;04/2015;79 kW (107 hp);Used;- (Previous Owners);Manual;Diesel;4 l/100 km (comb.);105 g/km (comb.)
Volkswagen Passat Variant ;€ 25,990.-;109,000 km;08/2019;176 kW (239 hp);Used;- (Previous Owners);Automatic;Diesel;5.7 l/100 km (comb.);150 g/km (comb.)
Audi A3 ;€ 18,900.-;94,943 km;10/2017;110 kW (150 hp);Used;2 previous owners;Manual;Diesel;- (l/100 km);- (g/km)
Mercedes-Benz E 350 ;€ 36,800.-;116,000 km;03/2019;210 kW (286 hp);Used;- (Previous Owners);Automatic;Diesel;5.2 l/100 km (comb.);138 g/km (comb.)
Audi A5 ;€ 26,897.-;110,600 km;07/2016;180 kW (245 hp);Used;- (Previous Owners);Automatic;Diesel;5.7 l/100 km (comb.);151 g/km (comb.)
BMW M2 ;€ 50,950.-;59,206 km;10/2020;302 kW (411 hp);Used;1 previous owner;Automatic;Gasoline;9.2 l/100 km (comb.);209 g/km (comb.)
Mercedes-Benz E 200 ;€ 37,900.-;94,288 km;05/2018;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.3 l/100 km (comb.);112 g/km (comb.)
Fiat 595 Abarth ;€ 18,900.-;32,500 km;04/2018;118 kW (160 hp);Used;1 previous owner;Manual;Gasoline;6 l/100 km (comb.);139 g/km (comb.)
Skoda Superb ;€ 27,990.-;31,928 km;08/2016;206 kW (280 hp);Used;2 previous owners;Automatic;Gasoline;7.1 l/100 km (comb.);159 g/km (comb.)
Audi A5 ;€ 34,950.-;87,500 km;03/2019;170 kW (231 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
Citroen C3 ;€ 9,500.-;179,999 km;05/2017;73 kW (99 hp);Used;- (Previous Owners);Manual;Diesel;3.7 l/100 km (comb.);- (g/km)
Nissan Qashqai ;€ 11,500.-;172,436 km;06/2015;81 kW (110 hp);Used;- (Previous Owners);Manual;Diesel;3.8 l/100 km (comb.);- (g/km)
Citroen Jumper ;€ 9,999.-;228,766 km;05/2013;81 kW (110 hp);Used;- (Previous Owners);Manual;Diesel;7.1 l/100 km (comb.);188 g/km (comb.)
Audi RS6 ;€ 127,990.-;39,988 km;03/2020;441 kW (600 hp);Used;1 previous owner;Automatic;Gasoline;11.7 l/100 km (comb.);277 g/km (comb.)
Land Rover Range Rover ;€ 35,990.-;332,671 km;06/2013;250 kW (340 hp);Used;- (Previous Owners);Automatic;Diesel;8.7 l/100 km (comb.);229 g/km (comb.)
Mercedes-Benz A 220 ;€ 26,890.-;56,000 km;07/2019;140 kW (190 hp);Used;- (Previous Owners);Automatic;Diesel;4.3 l/100 km (comb.);114 g/km (comb.)
Lamborghini Huracan ;€ 238,580.-;17,400 km;04/2017;426 kW (579 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Land Rover Discovery Sport ;€ 16,999.-;149,950 km;10/2015;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
Porsche 991 ;€ 79,950.-;97,535 km;01/2012;257 kW (349 hp);Used;- (Previous Owners);Automatic;Gasoline;8.2 l/100 km (comb.);- (g/km)
Volkswagen T6 Multivan ;€ 38,540.-;109,430 km;10/2015;150 kW (204 hp);Used;- (Previous Owners);Automatic;Diesel;6.6 l/100 km (comb.);172 g/km (comb.)
Mercedes-Benz C 350 ;€ 31,980.-;98,500 km;02/2016;155 kW (211 hp);Used;1 previous owner;Automatic;Electric/Gasoline;2.1 l/100 km (comb.);49 g/km (comb.)
BMW 135 ;€ 40,900.-;24,375 km;06/2020;225 kW (306 hp);Used;1 previous owner;Automatic;Gasoline;- (l/100 km);154 g/km (comb.)
Mercedes-Benz S 63 AMG ;€ 134,890.-;59,719 km;10/2020;450 kW (612 hp);Used;1 previous owner;Automatic;Gasoline;11.1 l/100 km (comb.);254 g/km (comb.)
Hyundai i30 ;€ 24,990.-;65,396 km;08/2018;202 kW (275 hp);Used;1 previous owner;Manual;Gasoline;7.1 l/100 km (comb.);163 g/km (comb.)
BMW M5 ;€ 89,999.-;12,190 km;09/2020;460 kW (625 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);241 g/km (comb.)
Nissan 370Z ;€ 31,880.-;48,000 km;05/2019;241 kW (328 hp);Used;1 previous owner;Automatic;Gasoline;11.7 l/100 km (comb.);267 g/km (comb.)
Mercedes-Benz A 250 ;€ 30,935.-;50,768 km;11/2020;118 kW (160 hp);Used;1 previous owner;Automatic;Electric/Gasoline;- (l/100 km);0 g/km (comb.)
Mercedes-Benz A 250 ;€ 30,935.-;50,768 km;11/2020;118 kW (160 hp);Used;1 previous owner;Automatic;Electric/Gasoline;- (l/100 km);0 g/km (comb.)
Porsche Boxster ;€ 16,500.-;179,900 km;10/2001;185 kW (252 hp);Used;- (Previous Owners);Manual;Gasoline;8 l/100 km (comb.);- (g/km)
Skoda Octavia ;€ 7,900.-;322,653 km;10/2013;110 kW (150 hp);Used;3 previous owners;Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Land Rover Range Rover Sport ;€ 129,900.-;17,000 km;04/2021;423 kW (575 hp);Used;- (Previous Owners);Automatic;Gasoline;12.7 l/100 km (comb.);- (g/km)
BMW 760 ;€ 155,999.-;58,987 km;06/2019;448 kW (609 hp);Used;- (Previous Owners);Automatic;Gasoline;12.8 l/100 km (comb.);294 g/km (comb.)
Kia Optima ;€ 21,000.-;74,847 km;11/2018;151 kW (205 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;1.6 l/100 km (comb.);- (g/km)
BMW M6 ;€ 59,990.-;41,139 km;03/2016;412 kW (560 hp);Used;2 previous owners;Automatic;Gasoline;9.9 l/100 km (comb.);231 g/km (comb.)
Audi S3 ;€ 34,990.-;89,069 km;08/2017;228 kW (310 hp);Used;2 previous owners;Automatic;Gasoline;- (l/100 km);- (g/km)
Cupra Ateca ;€ 31,790.-;57,600 km;11/2019;221 kW (300 hp);Used;1 previous owner;Automatic;Gasoline;- (l/100 km);- (g/km)
Lexus CT 200h ;€ 20,550.-;62,363 km;05/2018;- kW (- hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;4.1 l/100 km (comb.);93 g/km (comb.)
BMW 440 ;€ 32,900.-;97,500 km;10/2016;240 kW (326 hp);Used;2 previous owners;Automatic;Gasoline;7.1 l/100 km (comb.);165 g/km (comb.)
Ford Mustang ;€ 66,900.-;19,172 km;05/2021;338 kW (460 hp);Used;- (Previous Owners);Automatic;Gasoline;12.4 l/100 km (comb.);- (g/km)
Tesla Model Y ;€ 64,500.-;13,500 km;01/2022;331 kW (450 hp);Used;1 previous owner;Automatic;Electric;- (l/100 km);0 g/km (comb.)
Kia Optima ;€ 24,900.-;39,153 km;04/2019;151 kW (205 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;1.6 l/100 km (comb.);- (g/km)
Audi A4 allroad ;€ 14,390.-;83,737 km;06/2011;105 kW (143 hp);Used;- (Previous Owners);Manual;Diesel;6.2 l/100 km (comb.);164 g/km (comb.)
Chevrolet Astro ;€ 12,985.-;172,000 km;09/1997;139 kW (189 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Kia Sportage ;€ 26,782.-;28,242 km;07/2019;136 kW (185 hp);Used;1 previous owner;Automatic;Electric/Diesel;5.8 l/100 km (comb.);153 g/km (comb.)
Mercedes-Benz C 200 ;€ 23,890.-;115,145 km;07/2017;100 kW (136 hp);Used;1 previous owner;Automatic;Diesel;4.4 l/100 km (comb.);112 g/km (comb.)
Mercedes-Benz GLS 400 ;€ 112,800.-;50,000 km;05/2021;243 kW (330 hp);Used;- (Previous Owners);Automatic;Diesel;7.1 l/100 km (comb.);187 g/km (comb.)
Mercedes-Benz CLA 220 ;€ 21,880.-;108,000 km;10/2017;130 kW (177 hp);Used;- (Previous Owners);Automatic;Diesel;4.8 l/100 km (comb.);126 g/km (comb.)
Mercedes-Benz GLS 400 ;€ 112,800.-;50,000 km;05/2021;243 kW (330 hp);Used;- (Previous Owners);Automatic;Diesel;7.1 l/100 km (comb.);187 g/km (comb.)
Mercedes-Benz GLE 350 ;€ 34,950.-;167,190 km;08/2015;190 kW (258 hp);Used;2 previous owners;Automatic;Diesel;6.4 l/100 km (comb.);169 g/km (comb.)
Audi RS5 ;€ 59,900.-;63,896 km;02/2018;331 kW (450 hp);Used;- (Previous Owners);Automatic;Gasoline;8.7 l/100 km (comb.);- (g/km)
Mercedes-Benz C 43 AMG ;€ 45,490.-;61,000 km;04/2018;270 kW (367 hp);Used;- (Previous Owners);Automatic;Gasoline;7.8 l/100 km (comb.);178 g/km (comb.)
Tesla Model 3 ;€ 45,500.-;48,300 km;03/2021;246 kW (334 hp);Used;- (Previous Owners);Automatic;Electric;- (l/100 km);0 g/km (comb.)
Mercedes-Benz A 250 ;€ 27,775.-;35,807 km;10/2020;118 kW (160 hp);Used;1 previous owner;Automatic;Electric/Gasoline;- (l/100 km);0 g/km (comb.)
Mercedes-Benz A 250 ;€ 27,775.-;47,214 km;08/2020;118 kW (160 hp);Used;1 previous owner;Automatic;Electric/Gasoline;- (l/100 km);0 g/km (comb.)
Mercedes-Benz C 63 AMG ;€ 53,800.-;99,500 km;05/2017;375 kW (510 hp);Used;2 previous owners;Automatic;Gasoline;8.2 l/100 km (comb.);192 g/km (comb.)
BMW Z4 ;€ 29,444.-;24,000 km;11/2013;180 kW (245 hp);Used;- (Previous Owners);Manual;Gasoline;- (l/100 km);0 g/km (comb.)
BMW X3 ;€ 54,900.-;15,901 km;07/2022;140 kW (190 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
BMW M4 ;€ 124,900.-;6,211 km;12/2022;375 kW (510 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Audi A6 ;€ 33,970.-;119,470 km;02/2019;210 kW (286 hp);Used;1 previous owner;Automatic;Diesel;7.3 l/100 km;190 g/km (comb.)
BMW X1 ;€ 19,999.-;134,561 km;04/2017;140 kW (190 hp);Used;1 previous owner;Automatic;Diesel;4.9 l/100 km (comb.);129 g/km (comb.)
Mercedes-Benz E 220 ;€ 20,777.-;156,000 km;01/2015;125 kW (170 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);0 g/km (comb.)
Kia Cerato ;€ 1,990.-;305,000 km;06/2006;75 kW (102 hp);Used;- (Previous Owners);Manual;Diesel;4.9 l/100 km (comb.);- (g/km)
BMW M4 ;€ 124,900.-;6,211 km;12/2022;375 kW (510 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Alpine A110 ;€ 67,900.-;6,384 km;01/2022;185 kW (252 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Jaguar E-Pace ;€ 25,200.-;162,200 km;09/2018;132 kW (179 hp);Used;- (Previous Owners);Automatic;Diesel;5.2 l/100 km (comb.);138 g/km (comb.)
Audi Q5 ;€ 21,990.-;177,000 km;02/2017;140 kW (190 hp);Used;- (Previous Owners);Automatic;Diesel;4.8 l/100 km (comb.);126 g/km (comb.)
Mercedes-Benz E 53 AMG ;€ 64,970.-;53,096 km;08/2018;320 kW (435 hp);Used;3 previous owners;Automatic;Gasoline;8.7 l/100 km (comb.);200 g/km (comb.)
Jaguar E-Pace ;€ 25,200.-;162,200 km;09/2018;132 kW (179 hp);Used;- (Previous Owners);Automatic;Diesel;5.2 l/100 km (comb.);138 g/km (comb.)
Mercedes-Benz E 53 AMG ;€ 64,970.-;53,096 km;08/2018;320 kW (435 hp);Used;3 previous owners;Automatic;Gasoline;8.7 l/100 km (comb.);200 g/km (comb.)
Audi Q5 ;€ 21,990.-;177,000 km;02/2017;140 kW (190 hp);Used;- (Previous Owners);Automatic;Diesel;4.8 l/100 km (comb.);126 g/km (comb.)
